IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
20.221.32.145,443,443,true,ORD,North America,US,Chicago,375,10.33
4.182.90.213,443,443,true,FRA,Europe,DE,Frankfurt,377,10.23
20.14.73.143,2053,8443,true,LAX,North America,US,Los Angeles,291,10.20
4.221.60.243,8443,443,true,JNB,Africa,ZA,Johannesburg,262,9.98
130.0.239.147,2053,443,true,KBP,Europe,UA,Kyiv,207,9.96
20.121.115.188,443,443,true,IAD,North America,US,Ashburn,228,9.67
130.0.239.147,8443,443,true,KBP,Europe,UA,Kyiv,337,9.49
4.221.60.243,2053,443,true,JNB,Africa,ZA,Johannesburg,225,9.48
52.149.136.203,443,443,true,IAD,North America,US,Ashburn,337,9.42
158.23.81.224,2053,443,true,DFW,North America,US,Dallas,223,9.25
20.25.205.37,2053,443,true,ORD,North America,US,Chicago,326,9.07
74.249.233.213,443,443,true,ORD,North America,US,Chicago,259,9.05
48.217.34.120,443,443,true,IAD,North America,US,Ashburn,414,8.96
20.25.205.37,8443,443,true,ORD,North America,US,Chicago,432,8.88
158.23.81.224,8443,443,true,DFW,North America,US,Dallas,286,8.78
20.228.249.211,2053,443,true,IAD,North America,US,Ashburn,436,8.47
20.127.201.36,443,443,true,IAD,North America,US,Ashburn,313,8.27
13.68.186.91,443,443,true,IAD,North America,US,Ashburn,353,8.20
4.172.225.82,8443,443,true,YYZ,North America,CA,Toronto,444,8.11
20.36.131.211,443,443,true,IAD,North America,US,Ashburn,425,8.03
20.109.23.42,443,443,true,IAD,North America,US,Ashburn,438,7.93
20.185.45.204,443,443,true,IAD,North America,US,Ashburn,445,7.76
20.151.63.165,8443,443,true,YYZ,North America,CA,Toronto,354,7.64
40.123.42.160,8443,443,true,IAD,North America,US,Ashburn,407,7.58
20.151.60.161,8443,443,true,YYZ,North America,CA,Toronto,252,7.56
20.200.127.8,8443,443,true,YYZ,North America,CA,Toronto,511,7.53
4.172.225.98,8443,443,true,YYZ,North America,CA,Toronto,449,7.53
40.123.41.147,8443,443,true,IAD,North America,US,Ashburn,387,7.52
40.123.47.252,8443,443,true,IAD,North America,US,Ashburn,359,7.48
20.151.238.192,8443,443,true,YYZ,North America,CA,Toronto,409,7.47
20.246.127.166,443,443,true,IAD,North America,US,Ashburn,470,7.47
20.151.90.208,8443,443,true,YYZ,North America,CA,Toronto,439,7.42
172.177.248.69,8443,443,true,IAD,North America,US,Ashburn,543,7.37
40.79.73.114,8443,443,true,IAD,North America,US,Ashburn,242,7.34
4.239.248.70,8443,443,true,YYZ,North America,CA,Toronto,398,7.33
20.62.172.88,443,443,true,IAD,North America,US,Ashburn,434,7.30
104.46.111.142,8443,443,true,IAD,North America,US,Ashburn,452,7.22
4.206.223.188,8443,443,true,YYZ,North America,CA,Toronto,323,7.17
172.174.249.255,443,443,true,IAD,North America,US,Ashburn,367,7.12
20.84.117.28,443,443,true,IAD,North America,US,Ashburn,323,7.09
20.228.249.211,8443,443,true,IAD,North America,US,Ashburn,379,7.08
172.212.108.47,443,443,true,IAD,North America,US,Ashburn,266,7.00
