IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
8.210.233.168,2082,2082,false,HKG,Asia Pacific,HK,Hong Kong,13,38.16
8.210.233.168,2052,2052,false,HKG,Asia Pacific,HK,Hong Kong,12,32.74
47.242.123.166,2082,2082,false,HKG,Asia Pacific,HK,Hong Kong,12,31.33
103.44.255.81,443,443,true,HKG,Asia Pacific,HK,Hong Kong,8,31.05
47.243.137.146,2086,2086,false,HKG,Asia Pacific,HK,Hong Kong,14,24.82
47.243.137.146,2052,2052,false,HKG,Asia Pacific,HK,Hong Kong,12,23.19
47.243.137.146,2082,2082,false,HKG,Asia Pacific,HK,Hong Kong,12,20.61
8.210.233.168,2086,2086,false,HKG,Asia Pacific,HK,Hong Kong,9,18.77
8.210.110.229,2095,2095,false,HKG,Asia Pacific,HK,Hong Kong,11,18.53
47.242.123.166,2095,2095,false,HKG,Asia Pacific,HK,Hong Kong,12,17.90
8.210.233.168,2095,2095,false,HKG,Asia Pacific,HK,Hong Kong,13,17.55
8.210.110.229,2052,2052,false,HKG,Asia Pacific,HK,Hong Kong,12,15.78
45.153.130.97,25909,443,true,HKG,Asia Pacific,HK,Hong Kong,43,5.49
206.237.18.140,36485,443,true,HKG,Asia Pacific,HK,Hong Kong,43,2.83
154.88.25.179,28985,443,true,HKG,Asia Pacific,HK,Hong Kong,42,1.59
202.81.230.107,54573,443,true,HKG,Asia Pacific,HK,Hong Kong,68,1.18
5.180.98.146,22827,443,true,HKG,Asia Pacific,HK,Hong Kong,43,1.00
156.251.180.181,21698,443,true,HKG,Asia Pacific,HK,Hong Kong,42,0.80
23.26.217.101,10001,443,true,HKG,Asia Pacific,HK,Hong Kong,263,0.62
154.21.202.107,4433,443,true,HKG,Asia Pacific,HK,Hong Kong,18,0.39
47.239.221.179,2053,2053,true,HKG,Asia Pacific,HK,Hong Kong,9,0.29
43.129.97.210,8443,443,true,HKG,Asia Pacific,HK,Hong Kong,110,0.28
206.237.1.59,11563,443,true,HKG,Asia Pacific,HK,Hong Kong,223,0.20
45.87.102.122,444,443,true,HKG,Asia Pacific,HK,Hong Kong,263,0.18
172.93.188.157,443,443,true,SIN,Asia Pacific,SG,Singapore,153,0.18
165.154.43.92,35184,443,true,HKG,Asia Pacific,HK,Hong Kong,63,0.12
154.21.203.95,49736,443,true,HKG,Asia Pacific,HK,Hong Kong,14,0.10
141.11.77.158,27312,443,true,HKG,Asia Pacific,HK,Hong Kong,365,0.09
38.207.143.44,13343,443,true,HKG,Asia Pacific,HK,Hong Kong,263,0.07
221.127.50.207,443,443,true,HKG,Asia Pacific,HK,Hong Kong,329,0.07
219.76.13.180,443,443,true,HKG,Asia Pacific,HK,Hong Kong,469,0.06
175.41.143.167,8080,80,false,HKG,Asia Pacific,HK,Hong Kong,222,0.06
38.6.167.31,12666,443,true,HKG,Asia Pacific,HK,Hong Kong,92,0.06
47.83.18.47,443,443,true,HKG,Asia Pacific,HK,Hong Kong,14,0.05
219.76.13.166,443,443,true,HKG,Asia Pacific,HK,Hong Kong,473,0.03
165.154.43.92,35187,443,true,SEA,North America,US,Seattle,63,0.01
45.87.103.154,52001,443,true,HKG,Asia Pacific,HK,Hong Kong,252,0.00
101.36.122.24,19351,443,true,HKG,Asia Pacific,HK,Hong Kong,12,0.00
